animeTitle	Jiyuantai Qihao
animeType	Movie
animeNumEpisode	1
releaseDate	2019-09-02 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17248
animeDescription	"Ziming, a University undergraduate, is entangled between his amorous feelings for a self-exiled mother Mrs Yu from Taiwan and her beautiful daughter Meiling, in the era coincides with Hong Kong's turbulent times of 1967.

(Source: IMDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
