animeTitle	Macademi Wasshoi!
animeType	TV
animeNumEpisode	12
releaseDate	2008-10-06 00:00:00
endDate	2008-12-22 00:00:00
animeNumMembers	40399
animeScore	6.95
animeUsers	16771
animeRank	4000
animePopularity	2786
animeDescription	"Magician's Academy revolves around Takuto Hasegawa, who attends a magic academy that is not marked on any map. During a summoning spell exam, he accidentally creates a girl named Tanarotte, who happens to hold enough magical power to destroy his country, but fortunately Tanarotte professes undying loyalty (and love) to her ""creator."" 

(Source: ANN)"
animeRelated	"[""Magician's Academy""]"
animeCharacters	['Falce', 'Unthirteen, Tanarotte', 'Hasegawa, Suzuho', 'Hasegawa, Takuto', 'Sakuma, Eitarou', 'Hapsiel', 'Eneus', 'Stein, Frankram', 'Agaliarept', 'Finea']
animeVoices	['Fukui, Yukari', 'Ise, Mariya', 'Miyazaki, Ui', 'Koshimizu, Ami', 'Terashima, Takuma', 'Tobita, Nobuo', 'Kawasumi, Ayako', 'Hiyama, Nobuyuki', 'Suwabe, Junichi', 'Shitaya, Noriko']
animeStaff	[['Kanasaki, Takaomi', 'Director, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Yamamoto, Takashi', 'Episode Director, Storyboard'], ['Aoshima, Takashi', 'Script']]
