animeTitle	b'Seichou Rap'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.08
animeUsers	128
animeRank	
animePopularity	
animeDescription	"b'A rap video about intestines, bacteria, and pooping commissioned by the National Museum of Emerging Science and Innovation (shortened to Miraikan) to promote their exhibit ""Toilet!? Human Waste & Earth\'s Future"" which ran from July 2 to October 5th in 2014.'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
