animeTitle	Ashita no Joe Pilots
animeType	Special
animeNumEpisode	2
releaseDate	1969-11-06 00:00:00
endDate	1969-12-22 00:00:00
animeNumMembers	
animeScore	6.2
animeUsers	1605
animeRank	
animePopularity	7697
animeDescription	Pilot episodes.
animeRelated	['Ashita no Joe']
animeCharacters	['Yabuki, Joe', 'Rikiishi, Tooru', 'Tange, Danpei', 'Aoyama, Mamoru']
animeVoices	['Tomiyama, Kei', 'Fujioka, Juukei']
animeStaff	[['Dezaki, Osamu', 'Director, Storyboard'], ['Watanabe, Takeshi', 'Background Art']]
