animeTitle	Fune wo Amu: Yokoku
animeType	ONA
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	5.47
animeUsers	246
animeRank	
animePopularity	10861
animeDescription	Chibi-style next episode previews for Fune wo Amu that were originally posted on the official Fune wo Amu Twitter page and the noitaminA YouTube channel. They were later included on the DVD and Blu-ray releases as part of the episodes.
animeRelated	['Fune wo Amu']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
