animeTitle	Lu Ling
animeType	Movie
animeNumEpisode	1
releaseDate	1982-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	112
animeRank	
animePopularity	14742
animeDescription	"An old man and his grand daughter rescued an injured young deer. The girl and the young deer would develop a close relationship. After the recovery, the deer returned to the wild. Feeling sad the girl put a bell on the deer. Disappearing into the mountain valley, the deer's bell continues to echo.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
