animeTitle	Kindaichi Shounen no Jikenbo Returns
animeType	TV
animeNumEpisode	25
releaseDate	2014-04-05 00:00:00
endDate	2014-09-27 00:00:00
animeNumMembers	16237
animeScore	7.53
animeUsers	5913
animeRank	1544
animePopularity	4386
animeDescription	"High school student Hajime Kindaichi is the supposed grandson of famous private detective Kosuke Kindaichi. Visiting Hong Kong for a fashion event with Kindaichi, our hero's girlfriend Miyuki is captured by a stranger in a case of mistaken identity. The journey to save Miyuki itself leads to yet another crime case...

(Source: YTV)"
animeRelated	['Kindaichi Shounen no Jikenbo - Shin Series', 'Kindaichi Shounen no Jikenbo: 20th Shuunen Kinen Series', 'Kindaichi Shounen no Jikenbo', 'Kindaichi Shounen no Jikenbo Returns 2nd Season']
animeCharacters	['Kindaichi, Hajime', 'Nanase, Miyuki', 'Takatoo, Youichi', 'Akechi, Kengo', 'Kenmochi, Isamu', 'Mother Kindaichi', 'Li, Pai Long', 'Yan, Ran', 'Hayami, Reika', 'Master']
animeVoices	['Matsuno, Taiki', 'Nakagawa, Akiko', 'Ono, Kenichi', 'Morikawa, Toshiyuki', 'Kosugi, Juurouta', 'Han, Keiko', 'Chiba, Isshin', 'Iizuka, Mayumi', 'Satou, Tomohiro']
animeStaff	[['Tsuchida, Yutaka', 'Director'], ['Honda, Yasunori', 'Sound Director'], ['Kakudou, Hiroyuki', 'Episode Director, Storyboard'], ['Masaki, Shinichi', 'Episode Director']]
