animeTitle	Justeen
animeType	OVA
animeNumEpisode	1
releaseDate	2011-12-29 00:00:00
endDate	
animeNumMembers	837
animeScore	
animeUsers	
animeRank	16461
animePopularity	11591
animeDescription	The story is set in the future when a new threat attacks humans just as they are expanding their presence into space. Now, an enigmatic entity from 17 years ago has been set free, and the name of the entity is Justeen.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
