animeTitle	Bishounen Tanteidan
animeType	TV
animeNumEpisode	12
releaseDate	2021-04-11 00:00:00
endDate	2021-06-27 00:00:00
animeNumMembers	
animeScore	7.21
animeUsers	18990
animeRank	
animePopularity	1963
animeDescription	"Mayumi Doujima promises her parents that she will give up on her dreams of becoming an astronaut on her 14th birthday if she cannot find a star she once saw long ago.  Overhearing her troubles, the eccentric Manabu Soutouin offers to help her search for the star alongside the rest of Yubiwa Academy's mysterious Pretty Boy Detective Club, whose rules are as follows: ""Be pretty, be a boy, and be a detective!""

However, Mayumi is unique—she can see many things that ordinary people cannot. Her eyesight allows her to see the tiniest of details, from people approaching her at a distance to hidden traps that would otherwise go undetected. When the search for the lost star begins to sour, the Pretty Boy Detective Club end up entangled in something far beyond what they ever imagined. 

[Written by MAL Rewrite]"
animeRelated	['Bishounen Series']
animeCharacters	['Doujima, Mayumi', 'Yubiwa, Sousaku', 'Fukuroi, Michiru', 'Soutouin, Manabu', 'Ashikaga, Hyouta', 'Sakiguchi, Nagahiro', 'Rei', 'Fudatsuki, Lai', 'Soutouin, Odoru']
animeVoices	['Sakamoto, Maaya', 'Satou, Gen', 'Masuda, Toshiki', 'Murase, Ayumu', 'Yano, Shougo', 'Ban, Taito', 'Nanami, Hiroki', 'Toriumi, Kousuke', 'Ishida, Akira']
animeStaff	[['Shinbou, Akiyuki', 'Director'], ['Ootani, Hajime', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Murase, Ayumu', 'Theme Song Performance']]
