animeTitle	Amazing Nuts!
animeType	Music
animeNumEpisode	4
releaseDate	2006-12-20 00:00:00
endDate	
animeNumMembers	8645
animeScore	6.55
animeUsers	4181
animeRank	5871
animePopularity	5624
animeDescription	"Amazing Nuts! is an anthology of four animated shorts with each featuring its own distinct animation style and music by Studio 4°C.

1. Global Astroliner Gou
2. Glass Eye
3. Kung-Fu Love
4. Joe and Marilyn"
animeRelated	[]
animeCharacters	['Kichijoji, Hanako', 'Ichimoji']
animeVoices	['Kitamura, Eri']
animeStaff	[['Nakayama, Daisuke', 'Director, Storyboard'], ['Aoki, Yasuhiro', 'Director'], ['Ashino, Yoshiharu', 'Storyboard, Key Animation'], ['Miyake, Masakazu', 'Art Director']]
