animeTitle	Doraemon: Doraemon Comes Back (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	1998-03-07 00:00:00
endDate	
animeNumMembers	2040
animeScore	6.95
animeUsers	953
animeRank	3984
animePopularity	9386
animeDescription	Movie version of the Doraemon: Come Back Doraemon Special.
animeRelated	['Doraemon: Doraemon Comes Back', 'Doraemon Movie 19: Nobita no Nankai Daibouken']
animeCharacters	['Doraemon', 'Nobi, Nobita', 'Honekawa, Suneo', 'Gouda, Takeshi', 'Nobi, Nobisuke']
animeVoices	['Ooyama, Nobuyo']
animeStaff	[['Watanabe, Ayumu', 'Director, Animation Director'], ['Fujiko, Fujio F.', 'Original Creator'], ['Kikuchi, Shunsuke', 'Music'], ['Akashi, Seiko', 'Art Director']]
