animeTitle	b'Taberu Hitotachi'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'People can show some other personality when eating.  Some become like herbivores, chewing so many times.  Some becomes like carp, crowing around bait.  Some become like hamsters, with their mouths full, etc.  Everyone is unique and worth observation.\n\n(Source: Official Website)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
