animeTitle	Sasameki Koto
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.07
animeUsers	22861
animeRank	
animePopularity	2165
animeDescription	Murasame Sumika is popular in the high school for her excellence in the marks and sports. However, she has a secret: she is in love with her classmate Kazama Ushio. Ushio also has a liking to the love between girls, but she hasn't noticed Sumika's feelings and has always been refused by other girls.
animeRelated	['Sasameki Koto']
animeCharacters	['Murasame, Sumika', 'Kazama, Ushio', 'Hachisuka, Tomoe', 'Aoi, Azusa', 'Akemiya, Masaki', 'Torioi, Kiyori', 'Hayasumi, Noe', 'Nishikigi, Chizuka', 'Akemiya, Manaka', 'Sekidera, Akira']
animeVoices	['Takagaki, Ayahi', 'Takamoto, Megumi', 'Harada, Hitomi', 'Makiguchi, Mayuki', 'Shimizu, Ayaka', 'Katou, Emiri', 'Maeda, Ai', 'Hayami, Saori', 'Taketatsu, Ayana', 'Hayamizu, Risa']
animeStaff	[['Suganuma, Eiji', 'Director, Episode Director, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Takashima, Daisuke', 'Episode Director'], ['Aoki, Ei', 'Storyboard']]
