animeTitle	Romantica Clock
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.71
animeUsers	6248
animeRank	
animePopularity	4835
animeDescription	"Three episodes aired on TV as part of the Ribon x Oha Suta specials. 

Akane: She's beautiful and popular, lively and full of vitality; Aoi: Looks like a small animal but is actually very clever. Who knew that these two very different people were actually... twin siblings?! 

(Source: MU) 

Note: Episodes were made available on the official stream few days before the official broadcast."
animeRelated	['Romantica Clock']
animeCharacters	['Kajiya, Akane', 'Kajiya, Aoi', 'Karin']
animeVoices	['Kayano, Ai', 'Ishikawa, Kaito']
animeStaff	[['Maki, Youko', 'Original Creator']]
