animeTitle	b'Kaiju Decode'
animeType	Unknown
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'The catastrophe ""Skyfall"" was brought by the collapsed orbital space colony crashed into the Earth. Inside the crater at the crash site now inhabit Kaiju born by gene mutation. Ray, an avatar,..\n\nSource: Thessaloniki Animation Film Festival'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
