animeTitle	Namiuchigiwa no Muromi-san: Pangea Chou Tairiku no Muromi-san
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.75
animeUsers	3956
animeRank	
animePopularity	5805
animeDescription	Bundled with the ninth limited-edition volume of the manga.
animeRelated	['Namiuchigiwa no Muromi-san']
animeCharacters	['Muromi-san', 'Mukoujima, Takurou', 'Levia-san', 'Harpy', 'Fuji-san', 'Yeti', 'Houman-san', 'Oarfish', 'Wakana, Chieri', 'Wiseman']
animeVoices	['Tamura, Yukari', 'Mizushima, Takahiro', 'Nakahara, Mai', 'Sakai, Kanako', 'Harada, Hitomi', 'Saitou, Chiwa', 'Inokuchi, Yuka', 'Sakaguchi, Daisuke', 'Arai, Satomi', 'Ootsuka, Houchuu']
animeStaff	[['Yoshihara, Tatsuya', 'Director, Episode Director, Storyboard, Key Animation, Animation Director'], ['Fujii, Shingo', 'Episode Director, Storyboard, Key Animation, Animation Director'], ['Uesaka, Sumire', 'Theme Song Performance'], ['Najima, Keiji', 'Original Creator']]
