animeTitle	Tokyo Juushouden: Fuuma Gogyou Denshou
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.36
animeUsers	188
animeRank	
animePopularity	12349
animeDescription	"Long ago, in feudal Japan, there was a fierce warrior named the Demon King. He controlled a band of demons, known as the Kyouma. Only the powers of ten warriors sealed the Demon King away and kept the Kyouma under control. But now, Lord Shindigan, a powerful Kyouma is planning to free the Demon King, and the reincarnations of the ten warriors must band together and save the earth.

(Source: ANN)"
animeRelated	['Tokyo Juushouden']
animeCharacters	['Segu, Jutto', 'Kinomiya, Kaede', 'Kinomiya, Genshou', 'Hagun', 'Ranba, Hagiri', 'Kagami, Kyoshiro', 'Hanawa, Rokumon', 'Amitaka, Futaba', 'Kazamatsuri, Jingo', 'Kifu, Kokono']
animeVoices	['Midorikawa, Hikaru', 'Nakamura, Sayaka', 'Ii, Atsushi', 'Hiyama, Nobuyuki', 'Mitsuishi, Kotono', 'Kosugi, Juurouta', 'Ootsuka, Houchuu', 'Horie, Yui', 'Okiayu, Ryoutarou', 'Imai, Yuka']
animeStaff	[]
