animeTitle	Guardian Hearts
animeType	OVA
animeNumEpisode	6
releaseDate	2003-05-23 00:00:00
endDate	2003-11-28 00:00:00
animeNumMembers	7468
animeScore	5.87
animeUsers	2608
animeRank	9141
animePopularity	5973
animeDescription	"Maya, Kurusu, and Chelsea hit it off really well when trying to get revenge on Guardian Hearts for making them suffer. Maya and company thought that Guardian Hearts usually appears when Kazuya is getting along with a girl. Not knowing that Guardian Hearts is actually Hina, they leave her alone with Kazuya in an attempt to lure Guardian Hearts.

(Source: AniDB)"
animeRelated	['Guardian Hearts', 'Guardian Hearts-Power UP!']
animeCharacters	['Hina', 'Chelsea', 'Kurusu', 'Ooba, Maya', 'Watari, Kazuya', 'Daisy', 'Powawa', 'Kotono', 'Watari, Saki']
animeVoices	['Kugimiya, Rie', 'Ikezawa, Haruna', 'Ishimura, Tomoko', 'Araki, Kae', 'Sakurai, Takahiro', 'Shintani, Mayumi', 'Minami, Omi', 'Mochizuki, Hisayo', 'Orikasa, Ai']
animeStaff	[['Oomiya, Saburou', 'Producer'], ['Kuroda, Yasuhiro', 'Director, Episode Director, Storyboard'], ['Ishihira, Shinji', 'Episode Director'], ['Mano, Akira', 'Episode Director']]
