animeTitle	Utsukushiki Emono-tachi no Gakuen
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.43
animeUsers	596
animeRank	
animePopularity	9631
animeDescription	A plucky coed dreams of new friends and college glory days. Her dream becomes a raunchy reality when she`s inducted into an erotic sorority. To become a member, she performs outrageous acts of debauchery as her sexy sisters instruct her in the arts of lust! 
animeRelated	['Utsukushiki Emono-tachi no Gakuen']
animeCharacters	['Ichinomiya, Yurika']
animeVoices	[]
animeStaff	[['Awai, Shigeki', 'Character Design'], ['Mink', 'Original Creator'], ['Abukawa, Yasuyuki', 'Color Design']]
