animeTitle	b'Arslan Senki (TV) Gaiden'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.01
animeUsers	6896
animeRank	
animePopularity	
animeDescription	"b""It has been announced that Hiromu Arakawa's Arslan Senki manga will bundle OVAs in the fifth and sixth volumes, to be released on May 9 and November 9 respectively. The first OVA will include an original story supervised by Hiromu Arakawa, while the content of the second OVA has not been announced yet."""
animeRelated	[b'Arslan Senki (TV)']
animeCharacters	[b'Arslan', b'Daryun', b'Gieve', b'Narsus', b'Falangies', b'Silver Mask', b'Elam', b'Bodin', b'Jaswant', b'Mahendra']
animeVoices	[b'\nKobayashi, Yuusuke\nJapanese\n', b'\nHosoya, Yoshimasa\nJapanese\n', b'\nKENN\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nSakamoto, Maaya\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nHanae, Natsuki\nJapanese\n', b'\nSaitou, Shirou\nJapanese\n', b'\nHatano, Wataru\nJapanese\n', b'\nKanao, Tetsuo\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKajiura, Yuki\n\nTheme Song Lyrics, Theme Song Composition, Theme Song Arrangement\n\n', b'\nKalafina\n\nTheme Song Performance\n\n', b'\nNICO Touches the Walls\n\nTheme Song Performance, Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement\n\n']
