animeTitle	b'Akira (Shin Anime)'
animeType	Unknown
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""A new anime adaptation for Otomo's highly acclaimed post-apocalyptic cyberpunk manga series Akira.\n\n(Source: MAL News)"""
animeRelated	[b'Akira']
animeCharacters	[b'Kaneda, Shoutarou', b'Shima, Tetsuo', b'Kei', b'Shikishima']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nOtomo, Katsuhiro\n\nDirector, Original Creator\n\n']
