animeTitle	Kirari Kagayaku
animeType	ONA
animeNumEpisode	1
releaseDate	2017-03-29 00:00:00
endDate	
animeNumMembers	
animeScore	6.21
animeUsers	118
animeRank	
animePopularity	14955
animeDescription	"Tekken is the tourism ambassador for Omachi in the Nagano Prefecture. It is his home town. The short is a story based on men's and women's romance set within the city and features the Shinano-Omachi Station, the Omachi hot springs village, the Omachi Mountain Museum, etc.

Tekken stated to Oricon News that it took him 3 months to write the story. The film contains 2381 hand drawn pages. "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
