animeTitle	Keiraku no Houteishiki Level-C
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.86
animeUsers	7358
animeRank	
animePopularity	4643
animeDescription	"Mizuki is a male fashion model with a nice apartment. Kazuomi just had his girlfriend kick him out. Kazuomi sets out to find someone new to live with and sees Mizuki on the street. Kazuomi thinks Mizuki is cute and asks to stay with him in exchange for great sex. Mizuki thinks he is joking until they are at his apartment later that night and Kazuomi makes good on his promise. 

(Source: ANN)"
animeRelated	['Keiraku no Houteishiki Level-C']
animeCharacters	['Ioroi, Haruno', 'Honjou, Kazuomi', 'Shinohara, Mizuki']
animeVoices	['Fukami, Rica', 'Miki, Shinichiro', 'Ishida, Akira']
animeStaff	[['Fujiyama, Fusanobu', 'Sound Director'], ['Mizushima, Yasuhiro', 'Theme Song Performance'], ['Saitou, Kazuya', 'Animation Check']]
