animeTitle	To Heart 2 AD
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.87
animeUsers	2215
animeRank	
animePopularity	6436
animeDescription	Based on the Visual Novel ToHeart 2 AD (Another Days), the sequel to ToHeart 2.
animeRelated	['To Heart 2: Another Days', 'To Heart 2 OVA', 'To Heart 2 AD Plus']
animeCharacters	['Kousaka, Tamaki', 'Tonami, Yuma', 'Kouno, Takaaki', 'Kousaka, Yuuji', 'Kusugawa, Sasara', 'Misora, Lucy Maria', 'Yuzuhara, Konomi', 'Komaki, Manaka', 'HMX-17c Silfa', 'Himeyuri, Sango']
animeVoices	['Itou, Shizuka', 'Nabatame, Hitomi', 'Fukuyama, Jun', 'Toriumi, Kousuke', 'Ono, Ryouko', 'Natsuki, Rio', 'Hase, Yurina', 'Rikimaru, Noriko', 'Sakurai, Harumi', 'Ishizuka, Sayori']
animeStaff	[['Kato, Yasuhisa', 'Director, Character Design, Animation Director'], ['Hamano, Takatoshi', 'Sound Director'], ['Uehara, Rena', 'Theme Song Performance'], ['Aquaplus', 'Original Creator']]
