animeTitle	b'Koi Kaze'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.09
animeUsers	26567
animeRank	
animePopularity	
animeDescription	"b""Saeki Koushirou works as a wedding planner, but his own love life is in shambles. His background makes it difficult for him to commit himself wholeheartedly to love. The child of a divorced couple, he lives with his father. He has a mother and a sister, but he has not seen them in years. After being dumped by his girlfriend, a chance encounter with a female high school student shakes Koushirou's calm and awakens new feelings in him\xe2\x80\x94but he learns that the girl is in fact his sister, who will now be staying with his father and him. Yet, the feelings in Koushirou's heart...\n\n(Source: ANN)"""
animeRelated	[b'Koi Kaze']
animeCharacters	[b'Kohinata, Nanoka', b'Saeki, Koushirou', b'Chidori, Kaname', b'Anzai, Futaba', b'Kohinata, Makie', b'Tamaki, Ouko', b'Odagiri, Kei', b'Anzai, Wakaba', b'Miyauchi, Kazuya', b'Saeki, Zenzo']
animeVoices	[b'\nNakamura, Yuki\nJapanese\n', b'\nMiyake, Kenta\nJapanese\n', b'\nOkamura, Akemi\nJapanese\n', b'\nAkesaka, Satomi\nJapanese\n', b'\nKatou, Yuuko\nJapanese\n', b'\nShimizu, Risa\nJapanese\n', b'\nOkano, Kousuke\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nKobayashi, Ryouya\nJapanese\n', b'\nTanaka, Ryouichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOomori, Takahiro\n\nDirector, Episode Director, Storyboard\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nWatanabe, Takashi\n\nEpisode Director, Storyboard\n\n', b'\nKobayashi, Tomoki\n\nEpisode Director\n\n']
