animeTitle	Furiten-kun
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14740
animeDescription	Based on the yonkoma manga by Ueda Masashi.
animeRelated	['Furiten-kun (1990)']
animeCharacters	['Furiten-kun']
animeVoices	[]
animeStaff	[['Yotsuji, Takao', 'Episode Director'], ['Yoshida, Hiroshi', 'Episode Director'], ['Itou, Tsunehisa', 'Script'], ['Nakazaki, Hideya', 'Theme Song Performance']]
