animeTitle	Mahou Shoujo Sae
animeType	OVA
animeNumEpisode	2
releaseDate	2006-04-28 00:00:00
endDate	2006-12-22 00:00:00
animeNumMembers	
animeScore	5.51
animeUsers	600
animeRank	
animePopularity	9660
animeDescription	"Evil magicians from the parallel universe are invading Earth and sucking out the consciousness from humans, and then use it for power. Our magical girl, Kusunoki Sae, is here to stop them! It's not an easy task, because all of her enemies seems to be nothing but perverts!

(Source: AniDB)"
animeRelated	['Mahou Shoujo Sae']
animeCharacters	['Emito', 'Kusunoki, Sae', 'Nishijima, Shouko', 'Ruran']
animeVoices	['Motoi, Emi', 'Kurokawa, Nami']
animeStaff	[['Hattori, Noritomo', 'Animation Director'], ['Tokiwa, Shouji', 'Art Director'], ['Higuchi, Isami', 'Original Character Design']]
