animeTitle	UFO Nitsukamatta Kodomo-tachi
animeType	OVA
animeNumEpisode	1
releaseDate	1991-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15779
animeDescription	"Educational video that teaches kids about the value of money and the consequences of overconsumption.

*Part of the series of films produced with cooperation of: Japan's Central Council for Financial Services Information and Bank of Japan Public Relations Department."
animeRelated	['Okane wa Mawaru: Kurashi to Kinyuu', 'Hyakumannen Attara, Dousuru?', 'Hoshigari Hime no Bouken']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
