animeTitle	Baa-cha no Kingyo
animeType	ONA
animeNumEpisode	1
releaseDate	2012-10-28 00:00:00
endDate	
animeNumMembers	746
animeScore	6.17
animeUsers	430
animeRank	7830
animePopularity	11903
animeDescription	"Short animation by Kaori Iwase.

The story follows an old lady that is very fond of her gold fish and the dream she has revolving it. She recalls an event in her younger years as a child and the reason behind her love for gold fishes.

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
