animeTitle	Murenase! Seton Gakuen
animeType	TV
animeNumEpisode	12
releaseDate	2020-01-07 00:00:00
endDate	2020-03-24 00:00:00
animeNumMembers	
animeScore	7.02
animeUsers	76267
animeRank	
animePopularity	1137
animeDescription	"Seton Academy is a place attended by a plethora of interesting and diverse animal species. Jin Mazama is one of the few humans there, who also happens to vehemently hate animals from the bottom of his heart! One day, he stumbles upon the rowdy and assertive girl Ranka Ookami, a small ""lone wolf"" without a pack, who has not a single friend.

The desperate Ranka tries to invite Jin into joining her pack; Jin, who hates animals, naturally refuses. Amid this situation, Jin meets Hitomi Hino, a fellow human, and promptly becomes infatuated with her. After getting to know each other, the two decide to create a cooking club, and after a few bad-blooded misunderstandings, Ranka soon joins the club as well.

Thus begins the howl-some and howl-arious story of two normal humans; an adorable wolf; a cheerful koala; a sluggish, blonde sloth; and a feline with cattitude in their newfound club—in a story that teaches that friendship can be forged by creatures of different kinds.

[Written by MAL Rewrite]"
animeRelated	['Murenase! Seton Gakuen', 'Murenase! Seton Gakuen Special']
animeCharacters	['Ookami, Ranka', 'Hino, Hitomi', 'Mazama, Jin', 'Shishio, Miyubi', 'Meimei', 'Nekomai, Kurumi', 'Komori, Yukari', 'Mashima, Kuroe', 'Shishino, King', 'Madaraba, Iena']
animeVoices	['Kino, Hina', 'Miyamoto, Yume', 'Ishiya, Haruki', 'Kohara, Konomi', 'Serizawa, Yuu', 'Tokui, Sora', 'Kuno, Misaki', 'Aoyama, Yoshino', 'Sugita, Tomokazu', 'Tsuda, Minami']
animeStaff	[['Ikehata, Hiroshi', 'Director'], ['Gou, Fumiyuki', 'Sound Director'], ['Takada, Masatoyo', 'Episode Director'], ['Kasai, Yoshinobu', 'Episode Director']]
