animeTitle	b'Scoopers'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.3
animeUsers	341
animeRank	
animePopularity	
animeDescription	"b""It's 2016 and Shambhala city reporter Yoko and her android boyfriend/bodyguard/cameraman Vito are hunting the enigmatic criminal Mr. X. Their search leads them to the Rainbow Tower, were Yoko is taken hostage and Vito must battle to save her by destroying the program of the Tower's central computer to prevent X's escape.\n\n(Source: AniDB)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
