animeTitle	b'Ginga Sengoku Gunyuuden Rai'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	7.91
animeUsers	4224
animeRank	
animePopularity	
animeDescription	b'Rai is a space opera that fuses feudal Chinese and Japanese customs with vast galaxy spanning empires and space-going societies. The story follows the life and times of the samurai Rai, and the quest of several spacefaring factions for control of territory and, of course, the Empire.'
animeRelated	[b'Ginga Sengoku Gunyuuden Rai']
animeCharacters	[b'Ryuga, Rai', b'Daigakuya, Shishin', b'Rouha', b'Shimon', b'Masamune, Dokuganryu', b'Reila', b'Shuzen', b'Moukaku', b'Hiryuu', b'Rakou']
animeVoices	[b'\nHiyama, Nobuyuki\nJapanese\n', b'\nYao, Kazuki\nJapanese\n', b'\nYamada, Eiko\nJapanese\n', b'\nMitsuishi, Kotono\nJapanese\n', b'\nTakashima, Gara\nJapanese\n', b'\nKumagaya, Nina\nJapanese\n', b'\nSawaki, Ikuya\nJapanese\n', b'\nWatabe, Takeshi\nJapanese\n', b'\nOgata, Megumi\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOkuda, Seiji\n\nDirector, Storyboard\n\n', b'\nHonda, Yasunori\n\nSound Director\n\n', b'\nWatanabe, Takashi\n\nEpisode Director, Storyboard\n\n', b'\nSokuza, Makoto\n\nEpisode Director, Storyboard\n\n']
