animeTitle	Go! Go! Veggie-tan
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16706
animeDescription	A fusion of drawn animation, stop-motion animation, and live-action sequences. Go! Go! Veggie-tan tells a quirky tale of a tomato and eggplant that fell to Earth from their spaceship after a meteorite hit them and they became enchanted by local playground equipment. 
animeRelated	[]
animeCharacters	['Tomato, Bob', 'Larry Boy']
animeVoices	[]
animeStaff	[]
