animeTitle	Xian Yu Ge
animeType	ONA
animeNumEpisode	Unknown
releaseDate	2021-07-29 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15078
animeDescription	"Xian Yu Ge is a salted fish who boarded at his aunt's house and hangs around idly all day long. However, due to his unique style of doing things, he often encounters survival crisis, and is always working around the island. During this process, Xian Yu Ge gradually becomes acquainted with the strange residents of the island, and he slowly gains family affection and friendship with them. With the arrival of the annual Fish God Festival, the hilarious daily story of Xian Yu Ge unfolds.

(Source: bilibili, translated)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
