animeTitle	Chiisana Kyojin Microman
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.23
animeUsers	146
animeRank	
animePopularity	11258
animeDescription	3 kids meet 5 micro-sized superheroes from another world who enlist in their aid in fighting off alien invaders.
animeRelated	['Chiisana Kyojin Microman: Daigekisen! Microman vs. Saikyou Senshi Gorgon']
animeCharacters	['Mizusawa, Mami', 'Izamu', 'Kyuuji, Kouhei', 'Arthur', 'Blizzark']
animeVoices	['Hanba, Tomoe', 'Saiga, Mitsuki', 'Honda, Takako', 'Itou, Kentarou', 'Morikawa, Toshiyuki']
animeStaff	[['Abe, Noriyuki', 'Director, Sound Director'], ['Saeki, Shouji', 'Episode Director, Storyboard, Key Animation'], ['Okajima, Kunitoshi', 'Episode Director, Storyboard'], ['Yoshinaga, Naoyuki', 'Storyboard']]
