animeTitle	Otome Juurin Yuugi: Maiden Infringement Play
animeType	OVA
animeNumEpisode	2
releaseDate	2010-08-27 00:00:00
endDate	2010-11-26 00:00:00
animeNumMembers	
animeScore	6.27
animeUsers	1359
animeRank	
animePopularity	7073
animeDescription	"Kurata Ibuki and Miyauchi Akira are two very attractive virgin girls. Happily thinking they just won a prize at a summer resort for week, turns out to be a trick from some upper-class students at their school. The mastermind behind this whole ""abduction"" now have a whole week to train them to sex slaves. Will he successfully turn them to the dark side or will they struggle to the end and prevail?"
animeRelated	[]
animeCharacters	['Kurata, Ibuki', 'Yakushima, Shuuji', 'Yakushima, Karen', 'Miyauchi, Akira', 'Oomori, Takeshi', 'Kurosaki, Kazuma', 'Akagi, Kouhei']
animeVoices	[]
animeStaff	[['Yamamoto, Toshiyuki', 'Producer'], ['Yokoyama, Hiromi', 'Director, Episode Director'], ['Lee, Si-Min', 'Character Design']]
