animeTitle	Yuu☆Yuu☆Hakusho: Eizou Hakusho II
animeType	OVA
animeNumEpisode	4
releaseDate	1995-12-16 00:00:00
endDate	1996-02-07 00:00:00
animeNumMembers	11586
animeScore	7.31
animeUsers	4214
animeRank	2357
animePopularity	5015
animeDescription	"Eizou Hakusho II actually consists of four separate volumes. Each volume focuses around one of the main characters; Yusuke, Kurama, Hiei, or Kuwabara. Each episode is basically recap about the specific character's involvement in the series.

The beginning of each episode also contains a short music video about the specific character, with a song by its seiyuu."
animeRelated	['Yuu☆Yuu☆Hakusho', 'Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou']
animeCharacters	['Urameshi, Yuusuke', 'Hiei', 'Kurama', 'Kuwabara, Kazuma', 'Botan', 'Toguro, Younger', 'Sensui, Shinobu', 'Raizen', 'Yukimura, Keiko', 'Mukuro']
animeVoices	['Sasaki, Nozomu', 'Hiyama, Nobuyuki', 'Ogata, Megumi', 'Chiba, Shigeru', 'Miyuki, Sanae', 'Genda, Tesshou', 'Ishida, Akira', 'Sugou, Takayuki', 'Amano, Yuri', 'Takayama, Minami']
animeStaff	[['Togashi, Yoshihiro', 'Original Creator']]
