animeTitle	180 Byou de Kimi no Mimi wo Shiawase ni Dekiru ka?
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	6.25
animeUsers	1973
animeRank	
animePopularity	3901
animeDescription	"ASMR or Autonomous Sensory Meridian Response is the nerve-tingling or relaxing response and sensation one gets to stimuli such as certain sounds or sights. As the title indicates, the anime will let viewers experience ASMR in 180 seconds. In the story, the heroine challenges her classmates to share in her hobby of recording ASMR works. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Sawake, Akari', 'Sawake, Hikari', 'Kagami, Shuusui', 'Jirou', 'Kanako', 'Nanako', 'Sawake, Udoku']
animeVoices	['Mikami, Shiori', 'Waki, Azumi', 'Mimori, Suzuko', 'Hayami, Show', 'Koga, Aoi', 'Serizawa, Yuu', 'Itou, Kanae']
animeStaff	[['Kasai, Yoshinobu', 'Director'], ['Noguchi, Takayuki', 'Character Design']]
