animeTitle	Shin Captain Tsubasa
animeType	OVA
animeNumEpisode	13
releaseDate	1989-07-01 00:00:00
endDate	1990-07-01 00:00:00
animeNumMembers	10637
animeScore	7.13
animeUsers	5921
animeRank	3206
animePopularity	5173
animeDescription	Shin Captain Tsubasa takes place at the International Jr. Youth tournament (U-16) in Paris, France. After defeating the Argentina Jr. Youth, Italy Jr. Youth and France Jr. Youth teams, Japan Jr. Youth reaches the final against the powerful West Germany Jr. Youth team. The giant goal keeper Müller, the ace Kaltz and Europe's best player Schneider offer the Japan Jr. Youth team an extremely hard final match.
animeRelated	['Captain Tsubasa', 'Captain Tsubasa J']
animeCharacters	['Oozora, Tsubasa', 'Wakabayashi, Genzou', 'Hyuuga, Kojirou', 'Matsuyama, Hikaru', 'Schneider, Karl-Heinz', 'Ishizaki, Ryou', 'Nakazawa, Sanae', 'Wakashimazu, Ken', 'Pierre, Elle Sid', 'Soda, Makoto']
animeVoices	['Hibino, Akari', 'Hashimoto, Kouichi', 'Suzuoki, Hirotaka', 'Ichiryuusai, Teiyuu', 'Nanba, Keiichi', 'Maruyama, Hiroko', 'Sakamoto, Chika', 'Tobita, Nobuo', 'Shioya, Yoku', 'Ootsuka, Houchuu']
animeStaff	"[['Sekita, Osamu', 'Director'], ['Watanabe, Jun', 'Sound Director'], ['Matsuura, Noriyoshi', 'Sound Director'], [""D'Avena, Cristina"", 'Theme Song Performance']]"
