animeTitle	b'SD Gundam Force'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	5.34
animeUsers	3055
animeRank	
animePopularity	
animeDescription	"b""The land of Neotopia is attacked by the Dark Axis, evil invaders from another dimension who wish to conquer this land. Neotopia's answer: the secret Super Dimensional Guard and their defenders, the Gundam Force. Led by Captain Gundam, the Gundam Force and its team of Gundams with special abilities are aided by a boy named Shute as they stop at nothing to defend the land from the Dark Axis and to defeat them once and for all. \n\n(Source: ANN)"""
animeRelated	[b'Mobile Suit Gundam']
animeCharacters	[b'Zero', b'Gundam, Captain', b'du Lacroa, Relejimana Miya', b'Bakunetsumaru', b'Shute', b'Tallgeese', b'Red, Zako', b'Soldiers, Zako', b'Gouf, Grappler', b'Haro']
animeVoices	[b'\nSaiga, Mitsuki\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nMatsuki, Miyu\nJapanese\n', b'\nChiba, Susumu\nJapanese\n', b'\nPark, Romi\nJapanese\n', b'\nKusunoki, Taiten\nJapanese\n', b'\nIkeda, Shuuichi\nJapanese\n', b'\nItou, Kentarou\nJapanese\n', b'\nIwao, Mantaro\nJapanese\n', b'\nYoshimizu, Takahiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYatate, Hajime\n\nProducer, Original Creator\n\n', b'\nYamakawa, Norio\n\nProducer\n\n', b'\nAbe, Yuuichi\n\nDirector\n\n', b'\nYamamoto, Yuusuke\n\nEpisode Director, Storyboard\n\n']
