animeTitle	b'Kubbe Gachapin Mukku'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""A crossover between Kubbe and Fuji TV's Gachapin. This short was made to promote the Kubbe Kort Animasjon anime having a TV run on Gachapin's program Hirake! Ponkikki along with crossover merchandise featuring characters from both franchises.\n"""
animeRelated	[b'Kubbe Kort Animasjon']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
