animeTitle	b'Gin no Guardian II'
animeType	b'TV'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.55
animeUsers	20325
animeRank	
animePopularity	
animeDescription	"b""At Shinryou Private Academy\xe2\x80\x94an expensive school for wealthy students\xe2\x80\x94one would never expect to find the poverty-stricken Suigin Riku. When he is not working on one of his many part-time jobs to pay his tuition, he can often be found playing the RPG game Dungeon Century, where he has cultivated a relationship with an online friend. However, when Dungeon Century shuts down, he finds out that his crush, the kind-hearted Rei Riku, and his online friend are the same person. \n\nBut in the aftermath of this revelation, Rei gets kidnapped and taken into Grave Buster, which is a new online game from the creators of Dungeon Century, forcing Suigin to enter the harsh new world of a pay-to-win game in order to save her. Gin no Guardian 2nd Season continues Suigin's quest to rescue Rei, while attempting to solve the mysteries of this strange game.\n\n[Written by MAL Rewrite]\n"""
animeRelated	[b'Gin no Guardian']
animeCharacters	[b'Lu, Shui Yin', b'Lu, Lian', b'Hua, Ling', b'Collector', b'Nishikaze', b'Temujin']
animeVoices	[b'\nFukuyama, Jun\nJapanese\n', b'\nSaitou, Yuka\nJapanese\n', b'\nAsumi, Kana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nLi, Haoling\n\nDirector\n\n', b'\nAkatsuki, Rin\n\nTheme Song Performance\n\n', b'\nChapin, Clifford\n\nADR Director\n\n', b'\nFukunaga, Gen\n\nExecutive Producer\n\n']
