animeTitle	Gakuen no Shuryousha
animeType	OVA
animeNumEpisode	2
releaseDate	2003-03-14 00:00:00
endDate	2003-07-11 00:00:00
animeNumMembers	2842
animeScore	6.03
animeUsers	991
animeRank	
animePopularity	8518
animeDescription	"After Noelle's parents die suddenly in an accident, her older stepbrother Shuichi returns to take care of her in ways she could never have imagined. Noelle is horrified when, on the very night of her parents' funeral, the stepbrother she remembered so fondly cruelly rapes her. Then, without explaining why, Shuichi forces Noelle to transfer to the prestigious Takamine College. 

Each night as he ravishes her body, Shuichi pumps Noelle for information about the women on campus. Women like the curvaceously timid Haruko, the sexually talented Shirone, and the beautiful blond-haired bombshell Elena... Women who will be able to satisfy his insatiable desires – and provide him with the information he needs to avenge the death of his mother."
animeRelated	[]
animeCharacters	['Kano, Noelle', 'Takamine, Elena', 'Takamine, Shirone', 'Takamine, Daizaburou', 'Yanagihara, Mitsuha', 'Yanagihara, Futaba', 'Yanagihara, Aoba']
animeVoices	[]
animeStaff	[['Nagahama, Norihiko', 'Storyboard'], ['Iida, Hiroyoshi', 'Key Animation']]
