animeTitle	Classmate no Okaasan
animeType	OVA
animeNumEpisode	2
releaseDate	2007-04-13 00:00:00
endDate	2007-07-13 00:00:00
animeNumMembers	
animeScore	6.01
animeUsers	1826
animeRank	
animePopularity	6836
animeDescription	"Jun is in his second year of high school. He loves a female teacher, Keiko, though she is much older than him. He joins a badminton club that Keiko is in charge. Luckily, there is no other club members and he enjoys practicing it with Keiko after school....

One day, a girl talks to him.... It is Keikos daughter, Sae. ""My mother talks about you a lot at home."" Also, he finds that her husband passed away ten years ago. Triggered by this fact, he makes up his mind to tell Keiko that he loves her.... 

(Source: Saishuu)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
