animeTitle	Pinky Wakuwaku Tabi Stroll
animeType	ONA
animeNumEpisode	7
releaseDate	2000-12-01 00:00:00
endDate	2000-12-25 00:00:00
animeNumMembers	306
animeScore	4.97
animeUsers	123
animeRank	11493
animePopularity	14523
animeDescription	A promotional anime for Frente International's Pinky candy featuring their [pink] monkey mascot bring happiness through the power of Pinky candy in honor of the Pinky Citron Mint flavour release.
animeRelated	['Pinky Monkey no Umareta Hi', 'Pinky Monkey x FaFa Collaboration Animation: At Afternoon of Sunny Day']
animeCharacters	['Pinky']
animeVoices	[]
animeStaff	[]
