animeTitle	Koisuru Shirokuma Tokubetsu-ban
animeType	ONA
animeNumEpisode	3
releaseDate	2017-11-01 00:00:00
endDate	2018-01-31 00:00:00
animeNumMembers	1246
animeScore	6.53
animeUsers	353
animeRank	5995
animePopularity	10604
animeDescription	"Shochiku began streaming a new short for the for the ""petit anime"" of Koisuru Shirokuma. The new short, titled ""Hyouheki Don"" (Ice Wall Slam), is a web-only exclusive, and cannot be seen in theaters unlike the other shorts. 

The short begins with Seal attempting to escape the sleeping Polar Bear, still fearing that Polar Bear will eat him. But before Seal can get far, Polar Bear wakes up and runs to him. Seal pleads to Polar Bear not to eat him, but Polar Bear instead performs a kabe-don on Seal with a nearby ice wall. 

(Source: ANN)"
animeRelated	['Koisuru Shirokuma']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
