animeTitle	Futon
animeType	Movie
animeNumEpisode	1
releaseDate	2012-01-01 00:00:00
endDate	
animeNumMembers	776
animeScore	5.17
animeUsers	420
animeRank	11178
animePopularity	11803
animeDescription	"A futon, a traditional Japanese mattress, as seen by Yoriko Mizushiri, becomes the vehicle of dream fantasies combining the most pleasant sensations such as the morning coffee, the warmth of bedding and a soft rice carpet under one’s feet. Lazy stretching serves as a start of sensuous, sleepy gymnastics. With a fluid movement, the passive body will turn once again from the left to the right of the mattress to dive into the fantasies of even deeper unconsciousness a little while later.

(Source: Krakow Film Festival)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
