animeTitle	Boku wa Konomama Kaeranai
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.46
animeUsers	4659
animeRank	
animePopularity	5514
animeDescription	It is about Amafuji Ken, who longs to tell his best friend Youshinari Ritsurou how he really feels. In the way of that admission is Ritsurou's girlfriend, Moeko. After dropping out of high school, Ken gets Ritsurou to live with him. The angst begins when Ken sleeps with Moeko to get to Ritsurou.
animeRelated	['Boku wa Konomama Kaeranai']
animeCharacters	['Amafuji, Ken', 'Yoshinari, Ritsuro', 'Kobashi, Moeko']
animeVoices	['Toochika, Kouichi', 'Ichijo, Kazuya', 'Nagashima, Yuuko']
animeStaff	[['Fujiyama, Fusanobu', 'Sound Director'], ['Yamamoto, Harukichi', 'Theme Song Composition, Theme Song Performance, Theme Song Arrangement, Music'], ['Abe, Misao', 'Key Animation'], ['Saitou, Kazuya', 'Key Animation']]
