animeTitle	b'Enbo'
animeType	b'OVA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.1
animeUsers	8460
animeRank	
animePopularity	
animeDescription	"b""It has been a year since Misako became Yosuke Amamiya's wife, but her new stepson Kazuhiko is still barely acknowledging her, let alone seeing her as a mother figure. However, there is a more pressing matter on her mind: when she is alone at home, she frequently receives menacing calls from a stranger possessing detailed knowledge of her day-to-day life. Unable to bring this issue up with Yosuke, she remains silent about these disturbing interactions.\n\nJust as Kazuhiko starts warming up to Misako, things take a darker turn when she gets a sex toy delivered to her door. Left unsatisfied by her workaholic husband, she begins to engage in a new pastime: masturbating while on the phone with the unknown speaker. One day, Misako realizes that she is not the only one with a dirty secret when she witnesses Kazuhiko pleasuring himself with her underwear! Now aware that her stepson thinks of her as a woman, where will all this sexual tension lead?\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Enbo']
animeCharacters	[b'Amamiya, Misako', b'Amamiya, Emiko', b'Amamiya, Kazuhiko', b'Amamiya, Yosuke']
animeVoices	[b'\nFutami, Nagisa\nJapanese\n', b'\nIkeda, Hikaru\nJapanese\n', b'\nHirakawa, Daisuke\nJapanese\n', b'\nIkeda, Tomoaki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAwai, Shigeki\n\nDirector\n\n', b'\nFukumoto, Kan\n\nDirector\n\n', b'\nMiyabi, Tsuzuru\n\nOriginal Creator\n\n', b'\nAbukawa, Yasuyuki\n\nColor Design\n\n']
