animeTitle	Seikaisuru Kado
animeType	TV
animeNumEpisode	12
releaseDate	2017-04-07 00:00:00
endDate	2017-06-30 00:00:00
animeNumMembers	99378
animeScore	6.78
animeUsers	36011
animeRank	4720
animePopularity	1640
animeDescription	"Cool-headed and rational, Koujirou Shindou is a government official and master negotiator with a well-earned reputation. While departing on a business trip, a giant cube materializes and his plane is taken undamaged into the mysterious, indestructible structure.

As Japanese authorities attempt to identify the cube's properties and origins, Shindou encounters an otherworldly entity known as Yaha-kui zaShunina, who materializes in the form of a human man. He assures Shindou that the passengers are not in any danger and requests help in negotiations with the human world.

Hailing from a higher dimensional universe known as Novo, Yaha-kui zaShunina is able to transfer information between Novo and Shindou's universe through a cube called Kado. Despite having these unfathomable abilities, he does not appear hostile. Instead, he announces that he has come to this world with only one intention: to ""advance"" humanity—starting with Japan.

[Written by MAL Rewrite]"
animeRelated	['Seikaisuru Kado', 'Seikaisuru Kado: Ninovo', 'Seikaisuru Kado: Ekwari', 'Seikaisuru Kado: Beyond Information']
animeCharacters	['Yaha-kui zaShunina', 'Tsukai, Saraka', 'Shindou, Koujirou', 'Hanamori, Shun', 'Shinawa, Kanata', 'Yukika', 'Asano, Shuuhei', 'Fukamizu, Sophie', 'Gonnou, Takumi', 'Natsume, Ritsu']
animeVoices	['Terashima, Takuma', 'Ichimichi, Mao', 'Miura, Hiroaki', 'Saitou, Souma', 'Kugimiya, Rie', 'Serizawa, Yuu', 'Akabane, Kenji', 'Kaida, Yuuko', 'Kirimoto, Takuya', 'Itou, Shizuka']
animeStaff	[['Noguchi, Kouichi', 'Producer'], ['Murata, Kazuya', 'Director'], ['Watanabe, Masaki', 'Director'], ['Nagasaki, Yukio', 'Sound Director']]
