animeTitle	b'Kandagawa Jet Girls'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.68
animeUsers	9276
animeRank	
animePopularity	
animeDescription	"b'On the vivid and glistening waters of the Kanda River, Jetters and their respective Shooters race together on their jet skis, speeding through the wind as they participate in Jet Races\xe2\x80\x94""the world\'s most intense aquatic sport!""\n\nChasing her dream of becoming a professional Jet Racer like her mother, Rin Namiki transfers to Asakusa Girls\' High School in Tokyo. There, she stumbles upon Misa Aoi, a first-year student like her. However, tensions arise when Rin and Misa find themselves competing in a race against Team Dress from the prestigious Musashino Girls\' High School.\n\nAs a result of the race, Rin tries to join her school\'s Jet Racing club, only to discover that there is none. But, her resolve is unshaken, and she decides to recruit Misa and three other girls to create her very own team: ""Kandagawa Jet Girls."" With her heart set on winning the annual Kandagawa Cup, Rin, alongside her team, approaches the grandest stage of them all.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Kandagawa Jet Girls Recap', b'Kandagawa Jet Girls OVA']
animeCharacters	"[b'Namiki, Rin', b'Aoi, Misa', b'Shiraishi, Manatsu', b'Kuromaru, Manpuku', b'Orange, Emily', b'Midorikawa, Yuzu', b""Rin's Father"", b'Aoi, Risa', b'Narrator', b'Namiki, Ran']"
animeVoices	[b'\nSasahara, Yuu\nJapanese\n', b'\nKohara, Riko\nJapanese\n', b'\nAnzai, Chika\nJapanese\n', b'\nSuzaki, Aya\nJapanese\n', b'\nFairouz, Ai\nJapanese\n', b'\nMaeda, Kaori\nJapanese\n', b'\nTachiki, Fumihiko\nJapanese\n', b'\nChihara, Minori\nJapanese\n', b'\nHidaka, Noriko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKaneko, Hiraku\n\nDirector\n\n', b'\nAsaoka, Takuya\n\nEpisode Director, Storyboard, Assistant Director, Animation Director\n\n', b'\nTadokoro, Azusa\n\nTheme Song Performance\n\n', b'\nNaruko, Hanaharu\n\nOriginal Character Design\n\n']
