animeTitle	Bubblegum Crash
animeType	OVA
animeNumEpisode	3
releaseDate	1991-05-25 00:00:00
endDate	1991-12-21 00:00:00
animeNumMembers	
animeScore	6.55
animeUsers	4043
animeRank	
animePopularity	5416
animeDescription	"The saga of the Knight Sabers continues as the group tries to find out who or what is behind the recent string of robberies, murders, and Boomer malfunctions which are somehow related to the creation of an advanced artificial intelligence. Furthermore, it seems that the Knight Sabers may be breaking up. 

(Source: ANN)
"
animeRelated	['Bubblegum Crisis', 'Scramble Wars: Tsuppashire! Genom Trophy Rally']
animeCharacters	['Asagiri, Priscilla', 'Romanova, Nene', 'Stingray, Sylia', 'Yamazaki, Linna', 'McNichol, Leon', 'Stingray, Mackey', 'Largo', 'Wong, Daley', 'Dr. Yuri', 'Dr. Haynes']
animeVoices	['Tachikawa, Ryoko', 'Hiramatsu, Akiko', 'Sakakibara, Yoshiko', 'Tomizawa, Michie', 'Furukawa, Toshio', 'Sasaki, Nozomu', 'Sogabe, Kazuyuki', 'Horiuchi, Kenyuu', 'Umezu, Hideyuki', 'Nishimura, Tomomichi']
animeStaff	[['Ishiodori, Hiroshi', 'Director'], ['Fukushima, Hiroyuki', 'Director, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Matsuoka, Hiroki', 'Sound Director']]
