animeTitle	Spocon!
animeType	OVA
animeNumEpisode	2
releaseDate	2014-09-26 00:00:00
endDate	2014-10-31 00:00:00
animeNumMembers	
animeScore	6.91
animeUsers	2963
animeRank	
animePopularity	5949
animeDescription	"Tatsuya excelled at all sports during his school years. Now instead of being an athlete, he trains to be a coach at his former teacher's school Academy Josho. However, the leader of the swimming club Katsumi tried to seduce him in order to improve her results by any means. He opposed her actions, but could it be that the elite players from other clubs also have the same plan!?

(Source: Hau~ Omochikaeri!)"
animeRelated	['Spocon!: Sportswear Complex']
animeCharacters	['Shinohara, Katsumi', 'Belmonte, Anna', 'Terashima, Madoka', 'Shinjou, Yukari', 'Shirato, Usagi']
animeVoices	['Okajima, Tae', 'Satou, Miyuki', 'Fukuyama, Ayaka', 'Ichigoyama, Buntarou']
animeStaff	[['Marushin', 'Original Character Design'], ['Astronauts', 'Original Creator']]
