animeTitle	Toukiden Kiwami
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.54
animeUsers	467
animeRank	
animePopularity	11167
animeDescription	A five-minute promotional anime for PlayStation Vita and PlayStation Portable game Toukiden Kiwami. 
animeRelated	['Toukiden: The Age of Demons - Introduction', 'Toukiden 2']
animeCharacters	['Shuusui', 'Kuyou', 'Souma', 'Reki', 'Horou', 'Oka']
animeVoices	['Akabane, Kenji', 'Masutani, Yasunori', 'Midorikawa, Hikaru', 'Tsuda, Minami']
animeStaff	[['Kitakata, Masami', 'Sound Effects'], ['Itou, Hiroyuki', 'Art Director']]
