animeTitle	Hakaima Sadamitsu
animeType	TV
animeNumEpisode	10
releaseDate	2001-01-17 00:00:00
endDate	2001-03-21 00:00:00
animeNumMembers	5246
animeScore	6.86
animeUsers	2130
animeRank	4343
animePopularity	6858
animeDescription	"Sadamitsu, a high-school delinguents turned to a masked-hero, while not dealing with his rocky relationship with the strong female protagonist, he puts on a motorcycle-helmet-like mask and becomes a semi-robotic superhero who fights. He is assisted by other possibly- mechanical creatures in order to save the earth from the invasion of 20,000,000 escaped alien convicts.

(Source: AniDB)"
animeRelated	['Hakaima Sadamitsu']
animeCharacters	['Tsubaki, Sadamitsu', 'Kamishiro, Yayoi', 'Kulon', 'Junk']
animeVoices	['Ueda, Yuuji', 'Tanaka, Rie', 'Yamazaki, Shigenori', 'Yamaji, Kazuhiro']
animeStaff	[['Ohata, Koichi', 'Director, Series Production Director'], ['Sokuza, Makoto', 'Episode Director'], ['Tanaka, Rie', 'Theme Song Performance'], ['Iwasaki, Taku', 'Theme Song Arrangement, Music']]
