animeTitle	Kimetsu no Yaiba: Mugen Ressha-hen
animeType	TV
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	8.47
animeUsers	31327
animeRank	
animePopularity	1084
animeDescription	"TV version of Kimetsu no Yaiba Movie: Mugen Ressha-hen including an entirely new first episode. The first episode depicts Rengoku as he embarks on his journey to the Mugen Train. The remaining episodes will add about 70 new animation cuts and new background music, as well as a new trailer.

(Source: ANN)"
animeRelated	['Kimetsu no Yaiba Movie: Mugen Ressha-hen', 'Kimetsu no Yaiba: Yuukaku-hen']
animeCharacters	['Kamado, Tanjirou', 'Agatsuma, Zenitsu', 'Kamado, Nezuko', 'Hashibira, Inosuke', 'Rengoku, Kyoujurou', 'Kochou, Shinobu', 'Tomioka, Giyuu', 'Tokitou, Muichirou', 'Akaza', 'Uzui, Tengen']
animeVoices	[]
animeStaff	[['LiSA', 'Theme Song Performance'], ['Kajiura, Yuki', 'Theme Song Arrangement, Theme Song Lyrics, Theme Song Composition'], ['Shiina, Gou', 'Music']]
