animeTitle	b'Osananajimi to Doukyuusei'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.78
animeUsers	910
animeRank	
animePopularity	
animeDescription	"b""When going back home from school in the usual train line, Miyu's breasts are groped by a train molester. Shun, her classmate, appears and saves her. He walks her home and teases her about the chikan groping her breasts. He also kisses her.\n\nMiyu runs off to home. The truth is, however, that the train incident was all a cunning trap plotted by Shun. Back home, Miyu regrets having her first kiss stolen. Then, Kou, her childhood friend, appears and, due to Miyu losing her key, takes her to his home. There, Miyu confess her first kiss was stolen. However, Kou tells her they have already kissed, so it was not her first kiss.... That night, Kou takes Miyu's virginity.\n\nThe next day at school, Shun apologizes and invites her home. Miyu accepts, not knowing is a trap. There, Shun drugs her and trains her as sex slave. She resists it at first, but after that day, when she remembers that, she starts masturbating. Did she actually like it, and does she want more? What about Kou?"""
animeRelated	[]
animeCharacters	[b'Miyu']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTominaga, Tsuneo\n\nDirector, Storyboard\n\n', b'\nMARUTA\n\nOriginal Creator\n\n']
