animeTitle	Iwaki Meisei Daigaku
animeType	ONA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15386
animeDescription	"Commercials and promotional videos commissioned by Iwaki Meisei University from Production I.G.

Hashiru Shiki-hen
A girl runs through various seasons on campus.

Digest-hen
A girl reminisces about activities on campus such as her friendships, studying, and joining a small percussion band.

Ohai Alii: Kagayaku Hi no Tame ni
For the new nursing school it shows what student life will be like at the nursing school by following a fictional freshman who joins the hula club. "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
