animeTitle	Ikoku na Retro
animeType	OVA
animeNumEpisode	1
releaseDate	2015-04-24 00:00:00
endDate	
animeNumMembers	
animeScore	6.34
animeUsers	1862
animeRank	
animePopularity	7027
animeDescription	Based on the adult manga by Shiokombu (しおこんぶ).
animeRelated	['Koi Maguwai']
animeCharacters	['Shitsuji', 'Ojousama']
animeVoices	['Kurusugawa, Isamu']
animeStaff	[['Oota, Hideta', 'Director'], ['Sawayama, Shinichiro', 'Screenplay'], ['Shiokonbu', 'Original Creator'], ['Saegusa, Chiaki', 'Music']]
