animeTitle	Stars Colliding
animeType	Music
animeNumEpisode	1
releaseDate	2019-05-12 00:00:00
endDate	
animeNumMembers	196
animeScore	5.41
animeUsers	105
animeRank	10627
animePopularity	16133
animeDescription	Official short lyric music video for The Charm Park's song Stars Colliding in honor of the single's digital release going on sale the same day. There will also be a mini album that has the song on July 3, 2019.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
