animeTitle	D.C. I&II P.S.P. Re-Animated
animeType	OVA
animeNumEpisode	1
releaseDate	2010-10-28 00:00:00
endDate	
animeNumMembers	
animeScore	6.67
animeUsers	2034
animeRank	
animePopularity	6513
animeDescription	An OVA bundled with a PSP game Da Capo: D.C. I & II P.S.P. It features animated confession scenes for the four main heroines of the two games, Nemu, Kotori, Yume, and Otome. 
animeRelated	['D.C.: Da Capo', 'D.C.II: Da Capo II']
animeCharacters	['Shirakawa, Kotori', 'Asakura, Nemu', 'Asakura, Otome', 'Asakura, Yume', 'Asakura, Junichi', 'Sakurai, Yoshiyuki']
animeVoices	['Horie, Yui', 'Nogawa, Sakura', 'Takagaki, Ayahi', 'Tai, Yuuki', 'Asanuma, Shintaro']
animeStaff	[['Circus', 'Original Creator'], ['Koyama, Kenji', 'Sound Effects'], ['Takashina, Yuka', 'Character Design'], ['Iwaida, You', 'Color Design']]
