animeTitle	b'Lovedol: Lovely Idol OVA'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.09
animeUsers	493
animeRank	
animePopularity	
animeDescription	"b'This is a special episode of Lovedol. It\'s also called episode 13 of the series.\n\nLovedol, or Lovely Idol, is a girl group consisting of two generations of idols. The 3rd Generation is about to make its debut, but to their surprise, they have been delayed! The vague reason is only that ""they lack something."" The manager, and the 3rd Gen. girls too, must find the answer.\n'"
animeRelated	[b'Lovedol: Lovely Idol']
animeCharacters	[b'Sakaki, Mizuki', b'Fujisawa, Ruri', b'Nekoya, Miu', b'Kiryuu, Kotoha', b'Houjou, Hina', b'Nonomiya, Mai', b'Fujisawa, Tomohiro']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nEbina, Yasunori\n\nSound Director\n\n', b'\nNishimata, Aoi\n\nOriginal Character Design\n\n']
