animeTitle	Toukiden 2
animeType	ONA
animeNumEpisode	3
releaseDate	2016-06-30 00:00:00
endDate	2016-07-12 00:00:00
animeNumMembers	
animeScore	5.49
animeUsers	197
animeRank	
animePopularity	12454
animeDescription	Promotional anime for Koei-Tecmo game Toukiden 2 by Studio 4°C.
animeRelated	['Toukiden: The Age of Demons - Introduction', 'Toukiden Kiwami']
animeCharacters	['Tokitsugu', 'Hakase', 'Benizuki', 'Kamuna', 'Tsubaki', 'Homura']
animeVoices	['Yamadera, Kouichi', 'Sakamoto, Maaya', 'Fukui, Yukari', 'Miyashita, Eiji']
animeStaff	[['Tanaka, Takahiro', 'Director, Animation Director, Character Design'], ['Matsutake, Tokuyuki', 'Storyboard'], ['Saitou, Akiko', 'Assistant Animation Director'], ['Takeuchi, Kanako', 'Animation Check']]
