animeTitle	Yurumates
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.38
animeUsers	2758
animeRank	
animePopularity	6474
animeDescription	"Yurume, an 18-year old ""ronin"" and recent high school graduate, has high hopes of being accepted and attending Tokyo University. She moves into an apartment complex, the Maison du Wish, located on the outskirts of Tokyo where other ronins living there are studying for upcoming college acceptance exams."
animeRelated	['Yurumates', 'Yurumates wa?', 'Yurumates 3D']
animeCharacters	['Aida, Yurume', 'Matsukichi', 'Tanaka, Kumi', 'Kawano, Sae']
animeVoices	['Momoi, Haruko', 'Hino, Satoshi', 'Matsuki, Miyu', 'Kuwatani, Natsuko']
animeStaff	[['Tsukimisato, Tomohiro', 'Director, Episode Director'], ['Momoi, Haruko', 'Theme Song Performance'], ['saxyun', 'Original Creator']]
